ID,Compiler,Article_title,Language,Authors,Institution,Year,Journal,Study_objective,Sampling_date,Country,State,States,Locality,Coordinates,Standardized_coordinates,Protected_area_name,Protected area (another),Methodology,Main_methods,Method_record_interaction,Is_the_article_focused_on_interactions?,Comments,Mammalian_order,Mammalian_family,Mammalian_Species,Red_list_category,Body_size,Interaction,Type_predation,Another_species_group_interacting,Phylum,Class,Order,Family,Genus,Species_name_updated
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Neotoma leucodon,Least Concern,"0,172",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Onychomys arenicola,Least Concern,"0,03",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Peromyscus difficilis,Least Concern,"0,027",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Peromyscus gratus,Least Concern,"0,027",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Peromyscus maniculatus,Least Concern,"0,019",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Peromyscus melanophrys,Least Concern,"0,04",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Peromyscus pectoralis,Least Concern,"0,038",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Reithrodontomys fulvescens,Least Concern,"0,011",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Reithrodontomys megalotis,Least Concern,"0,001",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Sigmodon hispidus,Least Concern,"0,11",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of Cougars and Bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Puma concolor,Least Concern,"53,954",Predation,preys on,Bos taurus,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Chaetodipus sp.,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Mephitis sp.,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Neotoma albigula,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma albigula
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Odocoileus virginianus,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Peromyscus sp.,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Sigmodon sp.,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Sylvilagus floridanus,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Lynx rufus,Least Concern,"6,374",Predation,preys on,Thomomys umbrinus,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys umbrinus
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Puma concolor,Least Concern,"53,954",Predation,preys on,Lepus californicus,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus
364,DCD,"Abundance and Food Habits of Cougars and Bobcats in the Sierra San Luis, Sonora, México",English,"Luna, H., ....& López, C.A.","Universidad Autónoma de Querétaro, México / Universidad Autónoma de Querétaro, México",2005,USDA Forest Service Proceedings,Determine the abundance and dietary habits of cougars and bobcats.,April 2003-January 2004,Mexico,Sonora,,Ranchos El Pinito y Los Ojos en Sierra San Luis.,ND,"31.226, -108.946",ND,,Observational,"Records and collection of footprints, scrapes and droppings by means of transects.",Feces analysis,Yes,,Carnivora,Felidae,Puma concolor,Least Concern,"53,954",Predation,preys on,Mephitis sp.,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,
