ID,Compiler,Article_title,Language,Authors,Institution,Year,Journal,Study_objective,Sampling_date,Country,State,States,Locality,Coordinates,Standardized_coordinates,Protected_area_name,Protected area (another),Methodology,Main_methods,Method_record_interaction,Is_the_article_focused_on_interactions?,Comments,Mammalian_order,Mammalian_family,Mammalian_Species,Red_list_category,Body_size,Interaction,Type_predation,Another_species_group_interacting,Phylum,Class,Order,Family,Genus,Species_name_updated
5,JAFF,A Detection Probability Model for Aerial Surveys of Mule Deer,English,"Zabransky C. J.,…& C. A. Deyoung","Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville, Kingsville, TX 78363, USA",2016,The Journal of Wildlife Management,Develop and test a detection probability model for aerial surveys of mule deer in this region.,January 2008-March 2008; January 2009-March 2009; January 2010-March 2010,United States,Texas,,"Trans-Pecos region (4 sites: TP1, TP2, TP3, TP4)",ND,"30.353, -103.711",ND,,Observational,Aerial sampling,They used data from tagged deer and logistic regression; frequency tables to estimate collinearity between variables.,NO,,Artiodactyla,Cervidae,Odocoileus hemionus,Least Concern,"84,56",Indirect interaction,,Juniperus spp.,Gymnosperms,Pinopsida,Cupressales,Cupressaceae,Juniperus,
5,JAFF,A Detection Probability Model for Aerial Surveys of Mule Deer,English,"Zabransky C. J.,…& C. A. Deyoung","Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville, Kingsville, TX 78363, USA",2016,The Journal of Wildlife Management,Develop and test a detection probability model for aerial surveys of mule deer in this region.,January 2008-March 2008; January 2009-March 2009; January 2010-March 2010,United States,Texas,,"Trans-Pecos region (4 sites: TP1, TP2, TP3, TP4)",ND,"30.353, -103.711",ND,,Observational,Aerial sampling,They used data from tagged deer and logistic regression; frequency tables to estimate collinearity between variables.,NO,,Artiodactyla,Cervidae,Odocoileus hemionus,Least Concern,"84,56",Indirect interaction,,Pinus spp.,Gymnosperms,Pinopsida,Pinales,Pinaceae,Pinus,
8,JAFF,A note on the behavior of feral cattle in the Chihuahuan Desert of Mexico,English,"Hernandez, L.,...Sanchez-Colon, S.","Instituto de Ecologia, A.C. Centro Regional Durango / Departamento de Botanica, Escuela Nacional de Ciencias Biologicas-IPN",1999,Applied Animal Behavior Science,Compare patterns of habitat use and behavior between domestic and feral livestock.,May 1990-December 1993,Mexico,Durango,,Mapimi Biosphere Reserve,ND,"26.6013025, -103.7343805",Mapimí:Durango-Chihuahua-Coahuila,,Observational,Capture and installation of telemetry equipment,"Telemetry, Kernel method for home range; G test for habitat preference",NO,,Artiodactyla,Bovidae,,,,Indirect interaction,,Bos taurus,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Cricetidae,Baiomys taylori,Least Concern,"0,00734",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Chaetodipus lineatus,Data Deficient ,"0,023",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Chaetodipus lineatus,Data Deficient ,"0,023",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Dipodomys ordii,Least Concern,"0,0504",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Dipodomys ornatus,Least Concern,"0,053",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Heteromys irroratus,Least Concern,"0,048",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
12,JAFF,A semiarid fruit agroecosystem as a conservation‐friendly option for small mammals in an anthropized landscape in Mexico,English,"Riojas-Lopez, M. E.,...Luevano, J.","Departamento de Ecologıa, Centro Universitario de Ciencias Biologicas y Agropecuarias, Universidad de Guadalajara / Departamento de Biologıa de la Conservacion, Centro de Investigacion Cientıfica y de Educacion Superior de Ensenada,",2018,Ecological Applications,Determine if the type of habitat near the nopal orchards defines the diversity and composition of the rodent fauna of the site; what is the contribution of nopal orchards to harbor rodent species; how fragmentation affects rodent communities,March 2011-April 2011; July 2011-August 2011; October 2011-November 2011,Mexico,Jalisco,,Los Llanos de Ojuelos,"21º43'N, 101º51' W","21.717, -101.85",ND,,Observational,Use of habitat quadrants,Rodent sampling in habitat patches,Yes,Also with species associated with the Nopal orchards. Coordinates taken from the map,Rodentia,Heteromyidae,Perognathus flavus,Least Concern,"0,007",Indirect interaction,,Opuntia spp.,Angiosperms,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,
